"search-number","evaluation","evals-requested-so-far","number*","%-similar-wanted*","number-of-ethnicities*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","99","160","1320","76","4","""-1817752158""","46.63212435233161","97.5","73.47137521674811","18.122609294032774","46.63212435233161"
"1","100","160","1320","76","4","""1792526046""","40.11142061281337","96.8939393939394","70.49065599715551","18.628895407025656","40.11142061281337"
"1","101","160","1140","97","2","""-320254926""","46.98795180722892","85.17543859649123","67.2265644465781","14.569907416405304","46.98795180722892"
"1","102","160","1140","97","2","""1467276291""","45.83333333333333","86.31578947368422","65.1299108586528","16.248183405909206","45.83333333333333"
"1","103","160","1140","97","2","""-710342217""","48.70550161812297","84.29824561403508","69.24902415939145","14.531966174716446","48.70550161812297"
"1","104","160","1140","97","2","""-394610206""","39.63636363636363","86.66666666666667","66.5376353821781","18.395933197333097","39.63636363636363"
"1","105","160","1140","97","2","""-1108627346""","43.944636678200695","86.66666666666667","66.17200014262585","16.863291091143065","43.944636678200695"
"1","106","160","1140","97","2","""-5915955""","49.21630094043887","87.54385964912281","69.47752005735445","15.685983896841549","49.21630094043887"
"1","107","160","1140","97","2","""-871280736""","43.99293286219081","85.96491228070175","67.80546293748186","15.394945120914768","43.99293286219081"
"1","108","160","1140","97","2","""625664695""","40.51282051282051","86.40350877192982","66.86802497040465","17.54389953364214","40.51282051282051"
"1","109","160","1140","97","2","""1546616821""","48.84080370942813","84.12280701754385","68.09129260290908","14.562958793195058","48.84080370942813"
"1","110","160","1140","97","2","""971418396""","43.86873920552677","86.8421052631579","67.0158564039995","17.463287633542233","43.86873920552677"
"1","111","160","1240","51","3","""1043930945""","41.79743223965763","81.29032258064515","62.02393652117895","15.46821370392746","41.79743223965763"
"1","112","160","1240","51","3","""-574749520""","40","83.46774193548387","61.72030145254805","17.678927898729096","40"
"1","113","160","1240","51","3","""526647351""","45.23506988564168","81.53225806451613","64.20034407470322","15.332042488163994","45.23506988564168"
"1","114","160","1240","51","3","""2045765681""","41.226818830242514","81.93548387096774","61.00477284437068","16.271474720464216","41.226818830242514"
"1","115","160","1240","51","3","""-1086510350""","42.12076583210604","82.33870967741936","61.472001512730685","15.90953599088925","42.12076583210604"
"1","116","160","1240","51","3","""1457767880""","48.053691275167786","81.45161290322581","65.17634300189428","14.295901800364371","48.053691275167786"
"1","117","160","1240","51","3","""694709350""","39.35860058309038","81.20967741935485","61.54312122751835","16.61769416025738","39.35860058309038"
"1","118","160","1240","51","3","""643452709""","44.25133689839572","80.08064516129032","62.289471487870685","15.274527969283017","44.25133689839572"
